algorithm,tiles,n,m,objective_type,avg_objective,stdev_objective,avg_runtime,stdev_runtime
merge_greedy,60,3,3,square,17.0,1.18,3.2535,0.3456
merge_greedy,60,5,5,square,43.0,0.0,194.834,0.0
merge_greedy,6,10,10,square,33.0,1.73,0.6811,0.0766
merge_greedy,6,2,4,square,8.3,1.1,0.0046,0.0011
merge_greedy,6,3,3,square,7.7,0.9,0.0066,0.0022
merge_greedy,6,4,6,square,15.8,2.99,0.0351,0.0051
merge_greedy,6,5,5,square,15.3,1.27,0.0299,0.0075
merge_greedy,8,10,10,square,42.4,3.93,2.2674,0.1857
merge_greedy,8,2,4,square,10.0,1.73,0.0113,0.001
merge_greedy,8,3,3,square,8.6,0.92,0.0131,0.0034
merge_greedy,8,4,6,square,19.5,3.17,0.0993,0.0158
merge_greedy,8,5,5,square,17.4,1.28,0.0882,0.0145
stochastic_greedy,100,3,3,square,19.2,0.4,0.0322,0.0142
stochastic_greedy,10,10,10,square,39.5,0.5,0.0272,0.0029
stochastic_greedy,10,2,4,square,8.8,0.6,0.0011,0.0001
stochastic_greedy,10,3,3,square,9.13,0.43,0.0009,0.0001
stochastic_greedy,10,4,6,square,18.0,0.77,0.0022,0.0002
stochastic_greedy,10,5,5,square,18.2,0.4,0.0033,0.0022
stochastic_greedy,20,10,10,square,53.4,0.92,0.1353,0.0129
stochastic_greedy,20,2,4,square,11.0,0.45,0.0014,0.0002
stochastic_greedy,20,3,3,square,11.77,0.56,0.0016,0.0002
stochastic_greedy,20,4,6,square,24.0,0.77,0.007,0.0005
stochastic_greedy,20,5,5,square,24.0,0.77,0.0102,0.0013
stochastic_greedy,30,10,10,square,64.67,0.67,0.3525,0.0225
stochastic_greedy,30,2,4,square,12.2,0.75,0.0021,0.0002
stochastic_greedy,30,3,3,square,13.57,0.56,0.0035,0.002
stochastic_greedy,30,4,6,square,28.4,0.66,0.0165,0.0017
stochastic_greedy,30,5,5,square,29.1,0.7,0.0298,0.0093
stochastic_greedy,50,2,4,square,14.4,0.66,0.0039,0.0002
stochastic_greedy,50,3,3,square,15.77,0.8,0.0076,0.0013
stochastic_greedy,50,4,6,square,35.2,0.6,0.0643,0.0088
stochastic_greedy,50,5,5,square,36.2,0.6,0.0811,0.0086
stochastic_greedy,60,3,3,square,16.6,0.49,0.0169,0.0043
stochastic_greedy,60,5,5,square,40.0,0.0,0.1173,0.0
stochastic_greedy,6,10,10,square,31.1,1.22,0.0095,0.0022
stochastic_greedy,6,2,4,square,7.2,0.4,0.0007,0.0001
stochastic_greedy,6,3,3,square,7.47,0.56,0.0007,0.0001
stochastic_greedy,6,4,6,square,14.1,0.7,0.0014,0.0003
stochastic_greedy,6,5,5,square,14.8,0.6,0.0013,0.0001
stochastic_greedy,80,3,3,square,18.1,0.54,0.0337,0.0142
stochastic_greedy,8,10,10,square,34.1,1.51,0.0163,0.0022
stochastic_greedy,8,2,4,square,8.0,0.45,0.0011,0.0003
stochastic_greedy,8,3,3,square,8.4,0.55,0.0009,0.0005
stochastic_greedy,8,4,6,square,16.2,0.75,0.0021,0.0003
stochastic_greedy,8,5,5,square,16.6,0.66,0.0022,0.0009
